,tweets,polarity,subjectivity,analysis,IsPositive,IsNegative,IsNeutral
0," FUN FACT Donald Trump's healthcare plan has been ""2 weeks away"" for 43 months now.",0.3,0.2,Positive,1,0,0
1,Republicans tell the truth about Biden probe “It would certainly help Donald Trump win re-election” //t.co/uruEkTpq7D SmartNews,0.5071428571428571,0.4857142857142857,Positive,1,0,0
2,"  One out of every 1,640 Americans alive before the pandemic hit, is now dead because of… //t.co/lyw7Ddlt54",-0.05,0.4,Negative,0,1,0
3," Our latest.

Donald Trump's plan will kill 3 million Americans.

Vote like your life depends on it.

It does.",0.5,0.9,Positive,1,0,0
4," “I don’t have to shake hands with these disgusting people.” — President Donald J. Trump. 

Baskets of deplorables, perhaps?",-1.0,1.0,Negative,0,1,0
5,_arg       … //t.co/A65w9MwkuU,0.0,0.0,Neutral,0,0,1
6," Our latest.

Donald Trump's plan will kill 3 million Americans.

Vote like your life depends on it.

It does. //t.…",0.5,0.9,Positive,1,0,0
7," The choice in this election couldn’t be more clear.

We can choose four more years of Donald Trump’s dark and divisive politi…",0.23750000000000002,0.4458333333333333,Positive,1,0,0
8," “I don’t have to shake hands with these disgusting people.” — President Donald J. Trump. 

Baskets of deplorables, perhaps?",-1.0,1.0,Negative,0,1,0
9," _Graham Listen. I hate Donald Trump. Christians hate me because I do. 
Who is the righteous? I'll call it a draw.",-0.8,0.9,Negative,0,1,0
10," FUN FACT Donald Trump's healthcare plan has been ""2 weeks away"" for 43 months now.",0.3,0.2,Positive,1,0,0
11,"Our Furor Donald Trump ""a very perfect human being"" will soon dictate pussy grabbing is an American institution. 

//t.co/gueGXvttct",0.3333333333333333,0.3666666666666667,Positive,1,0,0
12, ...and here is _Osborne 's previous investigation (w/  + ) into Donald Trump's history with…,-0.16666666666666666,0.16666666666666666,Negative,0,1,0
13," BREAKING Lindsey Graham calls for Donald Trump to release his tax returns. 

""Yeah, I think everybody should. I've said…",0.0,0.0,Neutral,0,0,1
14," For Donald Trump it’s all about re-election. It should be about the American people.  will put you first.
BidenTownH…",0.125,0.16666666666666666,Positive,1,0,0
15, 1776 Commission Donald Trump announces plans for 'patriotic education' in schools //t.co/o5iN6bsstL,0.0,0.0,Neutral,0,0,1
16, “Maybe this COVID thing is a good thing. I don’t like shaking hands with people. I don’t have to shake hands with disgus…,0.7,0.6000000000000001,Positive,1,0,0
17,_Milano Women in President Donald Trump’s White House earn 69 cents for every $1 paid to male staffers //t.co/ILmQbDboLN,0.0,0.05,Neutral,0,0,1
18,_mariotti “Maybe this COVID thing is a good thing.  I don’t like shaking hands with people.  I don’t have to shake hands with th…,0.7,0.6000000000000001,Positive,1,0,0
19,GOD HELP US ALL I AM GOING TO DIE YOU ARE GOING TO DIE WE ARE ALL GOING TO DIE BECAUSE OF DONALD J TRUMP HEARD IMMU… //t.co/2DyVkrKPzi,0.0,0.0,Neutral,0,0,1
20," The 100 richest Americans have made more than $300 billion during the COVID-19 crisis.
 
Now, in the middle of a pandemic and…",0.25,0.25,Positive,1,0,0
21,Donald Trump just got truth-checked by Twitter for making a misleading comment about mail-in ballots. But instead o… //t.co/nF47v3l36f,0.0,0.0,Neutral,0,0,1
22," To the families and friends of the 200,000 killed by COVID19, Donald Trump wants you to know that the stock market is doin…",0.0,0.05,Neutral,0,0,1
23, Donald Trump said COVID hitting the United States was a good thing because he doesn't like shaking hands with his supporters.…,0.7,0.6000000000000001,Positive,1,0,0
24, “Unfit” is the best documentary I’ve seen explaining who Donald Trump is and just how dangerous another 4 yrs. of his Sociop…,0.13333333333333333,0.39999999999999997,Positive,1,0,0
25," No surprise, Donald Trump is lying about my tax plan. Here’s the truth about how I’ll make corporations pay their fair share…",0.7,0.9,Positive,1,0,0
26," ""The President talks about 'in Joe Biden's America,' says Joe Biden, responding to Pres. Trump's attempt to blame rising crime in…",0.0,0.0,Neutral,0,0,1
27," ""Maybe COVID is a good thing? That way I don't have to shake hands with these disgusting people.""

- Donald Trump on his su…",-0.15000000000000002,0.8,Negative,0,1,0
28," On the political nature of JulianAssange's prosecution

""Trump wanted WikiLeaks founder Julian Assange EXECUTED but will no…",0.0,0.1,Neutral,0,0,1
29, Esta tarde hablamos de la nueva serie AlguienTieneQueMorir ¿La vas a ver? Te platicamos de los famosos que cumplen años…,0.0,0.0,Neutral,0,0,1
30," There comes a time where we have to choose hope over fear, kindness over hate, and country over party. That’s exactly w…",-0.275,0.575,Negative,0,1,0
31," Our latest.

Donald Trump's plan will kill 3 million Americans.

Vote like your life depends on it.

It does. //t.…",0.5,0.9,Positive,1,0,0
32, The evidence and the science show that Donald Trump has badly damaged the U.S. and its people—because he rejects evidence and sc…,-0.6999999999999998,0.6666666666666666,Negative,0,1,0
33," To the families and friends of the 200,000 killed by COVID19, Donald Trump wants you to know that the stock market is doin…",0.0,0.05,Neutral,0,0,1
34," To the families and friends of the 200,000 killed by COVID19, Donald Trump wants you to know that the stock market is doin…",0.0,0.05,Neutral,0,0,1
35, New polling out of Wisconsin shows that a majority of voters in the state think Pres. Trump has encouraged violence amid protest…,0.13636363636363635,0.45454545454545453,Positive,1,0,0
36,"I really have to wonder what stake conservatives have in the education of our children

Also, this executive order… //t.co/3DC1yUWPya",0.2,0.2,Positive,1,0,0
37," ""Man, I'm so sorry..."" -  just now.

Already that's 1000% more sympathy given to Americans than Donald Trump ever…",0.0,0.75,Neutral,0,0,1
38," Donald Trump wants to give his rich friends another tax cut, so they pay a lower tax rate than tens of millions of essential…",0.2875,0.425,Positive,1,0,0
39, The USPS was preparing to send every family in America the masks they need to protect themselves. This plan would have signif…,0.0,0.0,Neutral,0,0,1
40," Trump se metia en los camerinos de Miss Teen USA cuando las jovencitas, menores de edad, se estaban cam… //t.co/1K0VCU3pog",0.0,0.0,Neutral,0,0,1
41, “Unfit” is the best documentary I’ve seen explaining who Donald Trump is and just how dangerous another 4 yrs. of his Sociop…,0.13333333333333333,0.39999999999999997,Positive,1,0,0
42, Joe Biden is a National Security Risk. Please help us safeguard America's defense by voting to reelect President Donald…,0.0,0.0,Neutral,0,0,1
43,"I am paralyzed with fear that Donald Trump will win, (steal) this election.The thought of him being drug out of the… //t.co/2pak44t3QE",0.8,0.4,Positive,1,0,0
44, _    //t.co/svtmShZSkO,0.0,0.0,Neutral,0,0,1
45, “Unfit” is the best documentary I’ve seen explaining who Donald Trump is and just how dangerous another 4 yrs. of his Sociop…,0.13333333333333333,0.39999999999999997,Positive,1,0,0
46," Twitter makes sure that Trending on Twitter is anything bad, Fake or not, about President Donald Trump. So obvious wha…",-0.17499999999999996,0.7638888888888888,Negative,0,1,0
47,Biden said trump calling it the “Chinese Virus” was xenophobic! He never called the travel ban Xenophobic! Facts fa… //t.co/DhU14hvbQP,0.0,0.0,Neutral,0,0,1
48," To the families and friends of the 200,000 killed by COVID19, Donald Trump wants you to know that the stock market is doin…",0.0,0.05,Neutral,0,0,1
49,  How many demons do you have Donald Trump dancing in your head Are you sending your litt… //t.co/iOdTjYcfv8,0.5,0.5,Positive,1,0,0
50," In 2012, Newsmax wanted a Republican debate moderated by Donald Trump. I killed it because who would want a debate mode…",-0.2,0.0,Negative,0,1,0
51," No surprise, Donald Trump is lying about my tax plan. Here’s the truth about how I’ll make corporations pay their fair share…",0.7,0.9,Positive,1,0,0
52, Trump imposed tariffs on China as part of making trade with China fair. He gave $28 billion of the tariffs to farmers f…,0.7,0.9,Positive,1,0,0
53," ""The President talks about 'in Joe Biden's America,' says Joe Biden, responding to Pres. Trump's attempt to blame rising crime in…",0.0,0.0,Neutral,0,0,1
54, This is how Donald Trump has changed since the '80s //t.co/yAQusInMc1,0.0,0.0,Neutral,0,0,1
55," In 2012, Newsmax wanted a Republican debate moderated by Donald Trump. I killed it because who would want a debate mode…",-0.2,0.0,Negative,0,1,0
56, President Donald Trump’s long-awaited healthcare plan will be rolled out before the Nov. 3 presidential election and w…,0.0,0.0,Neutral,0,0,1
57, Former model Amy Dorris says in a new interview that  sexually assaulted her at the U.S. Open tennis t…,0.1590909090909091,0.44696969696969696,Positive,1,0,0
58," To the families and friends of the 200,000 killed by COVID19, Donald Trump wants you to know that the stock market is doin…",0.0,0.05,Neutral,0,0,1
59,"Under the leadership of the President (Donald Trump), the great America has created eternal peace and consolidated… //t.co/doim4h8QvF",0.8,0.75,Positive,1,0,0
60," If you retweet this video about how much of a loser Trump is, then TrumpIsALoser will be the number 1 national trend…",0.2,0.2,Positive,1,0,0
61," This morning Donald Trump spread the dangerous ""antifa-wildfires"" disinformation campaign—which has resulted in people…",-0.6,0.9,Negative,0,1,0
62, Donald Trump is the first US president to reduce American jobs in his first term since Herbert Hoover did it in 1933.,0.16666666666666666,0.2222222222222222,Positive,1,0,0
63, Huge victory today in the battle to save the Postal Service from Donald Trump //t.co/Njo8iTDHgj,0.4000000000000001,0.9,Positive,1,0,0
64," Rep. Clyburn blasts AG Barr for comparing pandemic shutdowns to slavery, calling the remarks ""the most ridiculous, tone-de…",0.08333333333333334,0.75,Positive,1,0,0
65,"  Donald Trump's catastrophic failure as President of the United States, combined with his dishonesty, cr…",-0.3166666666666667,0.3,Negative,0,1,0
66," Donald Trump wants to give his rich friends another tax cut, so they pay a lower tax rate than tens of millions of essential…",0.2875,0.425,Positive,1,0,0
67, ICYMI Donald Trump accepts Joe Rogan's offer to be a part of a four hour debate with Joe Biden //t.co/YzZDgba77r …,0.0,0.0,Neutral,0,0,1
68, 12 days until Joe Biden debates Donald Trump.,0.0,0.0,Neutral,0,0,1
69," To the families and friends of the 200,000 killed by COVID19, Donald Trump wants you to know that the stock market is doin…",0.0,0.05,Neutral,0,0,1
70," Ken Starr and Alan Dershowitz ""negotiated"" with Alex Acosta to get Jeffrey Epstein the sweetheart Non-Prosecution Agreeme…",0.0,0.0,Neutral,0,0,1
71," Twitter makes sure that Trending on Twitter is anything bad, Fake or not, about President Donald Trump. So obvious wha…",-0.17499999999999996,0.7638888888888888,Negative,0,1,0
72," To the families and friends of the 200,000 killed by COVID19, Donald Trump wants you to know that the stock market is doin…",0.0,0.05,Neutral,0,0,1
73, BREAKING Lindsey Graham just called on Donald Trump to release his tax returns.,0.0,0.0,Neutral,0,0,1
74,  China question for Donald Trump Will Ivanka be building her voting machines and caskets here in the United St…,0.0,0.0,Neutral,0,0,1
75," To the families and friends of the 200,000 killed by COVID19, Donald Trump wants you to know that the stock market is doin…",0.0,0.05,Neutral,0,0,1
76," “I don’t have to shake hands with these disgusting people.” — President Donald J. Trump. 

Baskets of deplorables, perhaps?",-1.0,1.0,Negative,0,1,0
77," The 100 richest Americans have made more than $300 billion during the COVID-19 crisis.
 
Now, in the middle of a pandemic and…",0.25,0.25,Positive,1,0,0
78,_WI “This is Donald Trump’s America.” BidenTownHall,0.0,0.0,Neutral,0,0,1
79," Our Constitution, much bitched about but little read and understood, gave primary power and authority to Congress. 
In…",0.1375,0.39999999999999997,Positive,1,0,0
80, “Unfit” is the best documentary I’ve seen explaining who Donald Trump is and just how dangerous another 4 yrs. of his Sociop…,0.13333333333333333,0.39999999999999997,Positive,1,0,0
81,"_gregory   So, why did Kate Johnson drop the lawsuit?  DailyMail has learned th… //t.co/MM3zUsfTtY",0.0,0.0,Neutral,0,0,1
82," To the families and friends of the 200,000 killed by COVID19, Donald Trump wants you to know that the stock market is doin…",0.0,0.05,Neutral,0,0,1
83,TrumpIsALoser  ha. donald trump is a fucking trifling chump.  //t.co/QOOlBuUWBF,-0.6,0.8,Negative,0,1,0
84,"  Donald Trump's catastrophic failure as President of the United States, combined with his dishonesty, cr…",-0.3166666666666667,0.3,Negative,0,1,0
85," For Donald Trump it’s all about re-election. It should be about the American people.  will put you first.
BidenTownH…",0.125,0.16666666666666666,Positive,1,0,0
86, We choose four more years of President Donald Trump. Because he is the only one that can build a better f… //t.co/ExxIKLF4zW,0.3333333333333333,0.6666666666666666,Positive,1,0,0
87, ALERTA MUNDIAL Me informan que a partir de mañana jueves 17 de septiembre de 2020 viene el movimiento OCCUPY WALL STREET a oc…,0.0,0.0,Neutral,0,0,1
88, Huge victory today in the battle to save the Postal Service from Donald Trump //t.co/Njo8iTDHgj,0.4000000000000001,0.9,Positive,1,0,0
89," If you retweet this video about how much of a loser Trump is, then TrumpIsALoser will be the number 1 national trend…",0.2,0.2,Positive,1,0,0
90," “I don’t have to shake hands with these disgusting people.” — President Donald J. Trump. 

Baskets of deplorables, perhaps?",-1.0,1.0,Negative,0,1,0
91, Why hasn’t every single major newspaper in the country called on Donald Trump to resign?,-0.004464285714285712,0.35714285714285715,Negative,0,1,0
92," The 100 richest Americans have made more than $300 billion during the COVID-19 crisis.
 
Now, in the middle of a pandemic and…",0.25,0.25,Positive,1,0,0
93," I love Donald Trump, BUT I will not be taking that vaccine.",0.5,0.6,Positive,1,0,0
94,"  Now do trump billy boy? He repeats things at least 3 times. Hmm.. wonder why ?

Watch Unfit The psycholo…",-0.3,0.4,Negative,0,1,0
95, Donald Trump is criticizing Joe Biden for using a teleprompter while reading off of a teleprompter himself.,0.0,0.0,Neutral,0,0,1
96," Our latest.

Donald Trump's plan will kill 3 million Americans.

Vote like your life depends on it.

It does.",0.5,0.9,Positive,1,0,0
97, “Unfit” is the best documentary I’ve seen explaining who Donald Trump is and just how dangerous another 4 yrs. of his Sociop…,0.13333333333333333,0.39999999999999997,Positive,1,0,0
98, Masks should not be a partisan issue. Fighting a pandemic should not be a partisan issue. Our Postal Service should not be a p…,0.0,0.0,Neutral,0,0,1
99, Watch Live Donald Trump Hosts Campaign Rally in Wisconsin //t.co/zf01Ft1qIp,0.13636363636363635,0.5,Positive,1,0,0
